review_id,summary
10789614,"There was no evidence to support the use of antimicrobials as a treatment for NUD, but there is insufficient evidence to suggest that they are effective"
17720798,Conclusions : There is insufficient evidence to support the use of an anterior slide test for diagnosing posterior labral tears in athletes with shoulder pain
26104189,Conclusions : There is insufficient evidence to support or refute the use of an accelerometer as a weight management tool
18751709,AUTHORS'CONCLUSIONS There is no evidence to support or refute the use of physical exercise in FM patients.
25806470,"Women with AF were more likely to have major bleeding events than men ; however, there was no significant difference between women and men in the incidence of major bleeding"
19748548,Conclusions The results of this systematic review suggest that ART sealants are more effective than GIC sealants for the prevention of caries in first-molar teeth.
29406457,There was no significant difference in the incidence of varus between males and females.
29681480,Conclusions The results of this systematic review suggest that the use of a retrograde root-end sealer as an endodontic material is associated with a higher success rate than conventional root filling materials.
25076495,"In conclusion, the results of this meta- analysis suggest that consumption of walnuts is associated with reduced risk of Type 2 diabetes and cardiovascular disease."
28785411,The results of this meta- analysis suggest that overtraining is a common condition in athletes.
22387009,The results of this meta- analysis suggest that exercise training is associated with a reduction in the risk of cardiovascular disease in obese children
10796152,There is no evidence to support the use of a combination of oral and intramuscular treatments for the prevention of goitre.
26897342,There was no evidence to support the effectiveness of interdisciplinary interventions in reducing TV viewing and physical activity for children.
21438991,There was no evidence of a difference between the two types of surgery in terms of mortality or complications.
26882490,"In conclusion, we found no evidence that intraavernous therapy is superior to placebo in the management of neurogenic Erectile Dysfunction."
20012073,There is no evidence to support the use of early weight bearing in THA.
30088015,There was no evidence of a significant difference in the risk of stroke or cardiovascular mortality with rate control compared to rhythm control.
32216045,There was no statistically significant difference in body weight between SSB and non-caloric sweeteners at 1 year or 2 years of follow-up.
29189928,Conclusions : There is limited evidence to support the association between prolonged sitting and weight loss in young adults.
30369810,There was no significant difference in shear strength between the two types of adhesives.
24217903,Conclusions GH replacement is associated with significant reductions in body fat and LBM in adults with GHD compared to healthy controls.
29399794,The results of this meta- analysis suggest that vitamin D supplementation is associated with a reduction in bone mineral density in patients on AEDs
25409296,Conclusions There is insufficient evidence to support the use of PA as a predictor of overweight and obesity
28228371,Conclusions Dance-based exercise is effective in reducing the symptoms of depression and anxiety in elderly people.
28340030,"There was no evidence of a significant difference in A1c between the intervention and control group ; however, we did not find a statistically significant association between the interventions and other outcomes."
15846630,Conclusions There is no evidence to support the use of open or subcutaneous LIS for chronic anaesthetic fissure
28060187,"There was no evidence of a significant difference in the incidence of nonfatal heart failure or any other cardiovascular event, but there was an increase in the risk for death from any causes."
20459784,There was no evidence of a significant difference in BMC between the intervention and controls.
31067200,There was no evidence of a significant association between increased sympathetic nerve activity and the risk of CV events.
28380067,Conclusions Tai Chi appears to be effective in reducing the severity of depression and fatigue in MS patients
20459783,There was no evidence of a relationship between physical activity levels and the risk of cardiovascular disease or cancer.
29478682,There was no significant difference in the amount of bacterial debris between the two groups.
28182680,There was no evidence of a significant difference in sensory modulation among VLBW children.
30948819,Conclusions : This meta- analysis suggests that beta 1 blockers are effective in the treatment of hypertension
17253466,There was no statistically significant difference between CBT and non-treatment controls. Conclusions This systematic review provides evidence that CBT is an effective treatment for GAD
25109883,There was no evidence to support the use of a combination of resistance training and home-based physical activity for improving muscle strength in older adults.
28787537,There was no statistically significant difference between the two groups in terms of cardiovascular events.
26198702,"There was no evidence of a significant difference between the probiotics and placebo groups in the incidence of asthma or allergic disease at 1 year of age, but there was an increase in the prevalence of asthma during 2 years of gestation."
25984731,AUTHORS 'CONCLUSIONS There is insufficient evidence to support the use of platelet functions as predictors for MACE.
17312231,There is no evidence of a significant difference in mortality or major complications between epidurals and opioids.
26561616,There was no evidence of a significant change in total cholesterol or LDL concentrations between the two groups.
30599499,"In conclusion, we found no evidence to support or refute the use of anticholinesrgics in patients with SCI."
30616454,Conclusions : This meta- analysis suggests that the use of navigation in THR is associated with improved patient outcomes.
30177287,There is no evidence to support or refute the use of IFN-alpha-2b as a treatment for PD
26416579,"In conclusion, the current meta- analysis suggests that PON-1 is associated with an increased risk of cardiovascular disease in hyperlipidemia compared to non-HDL patients."
24794372,Conclusions GH is effective in the treatment of short stature in children with FSS.
24808490,The results of this meta- analysis suggest that the consumption of HFCS is associated with an increased risk of cardiovascular disease.
18029834,Conclusions : This systematic review found no evidence to support or refute the use of Pedometers as an intervention for improving physical activity in adults with obesity
21339335,There was no evidence of a significant difference in body composition between the two groups.
24384894,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of nutritional interventions in patients with NSCLC
23419910,RESULTS There is no evidence to support or refute the use of resistance training as an exercise intervention in persons with Parkinson disease.
30225547,The results of this meta- analysis suggest that the use of topical anesthetic and behavioural therapy for PE is safe and effective.
29191260,Conclusions This meta- analysis suggests that physical activity is associated with functional performance in people with OA.
31415611,There was no evidence of a significant difference between SFAs and LDL in terms of blood lipid profiles.
30700025,There was no evidence of an association between 25OHD levels and CVD mortality.
25431132,There was no evidence of a significant difference in the severity of hot flush symptoms between exercise and control groups.
28686645,There is insufficient evidence to determine whether or not vitamin D supplements reduce the risk of cardiovascular disease.
26548872,Conclusions The results of this systematic review suggest that a combination of mechanical and chemical surface conditioning methods can improve the bond strength to zirco-based ceramics
24514899,The results of this meta- analysis suggest that statins may be effective in reducing the risk of cardiovascular events
17988396,AUTHORS'CONCLUSIONS There is no evidence to support or refute the efficacy of social marketing interventions for improving diarrhosis management in low- income countries.
20524996,There was no evidence of a significant association between the consumption of sweetened beverages and changes in BMI.
30302558,The results of this meta- analysis suggest that a combination of statin 10 mg and 20 mg is effective in lowering LDL cholesterol
29397561,The results of this meta- analysis suggest that statin therapy is associated with a significant reduction in LDL cholesterol concentrations.
24954489,There was no evidence to support the use of HA coatings in TKA
29739343,Conclusions : This meta- analysis supports the hypothesis that exercise training is associated with an increased risk of developing mobility disability in older people.
24714894,Conclusions : The results of this systematic review suggest that overweight and obesity are associated with high blood pressure in schoolchildren.
25427719,The results of this meta- analysis suggest that beta blockers may be effective in reducing blood pressure in patients with hypertension
19683859,Conclusions : This meta- analysis suggests that PGP9.5 is associated with increased immunoreactivity in patients with OAB.
26561769,Conclusions The results of this systematic review suggest that the use of a single bonding system to restore dentin is associated with higher SBS values.
16933148,There was no evidence to support the use of ergonomics interventions in preventing or reducing neck and upper limb pain.
28251287,The results of this systematic review suggest that dietary supplements and resistance training are effective in improving muscle mass and functional performance in older adults
28215182,There was no evidence of a significant difference between VAS or NRS for pain relief in adult patients.
25577154,There was no evidence of a significant difference in the risk of cardiovascular mortality or stroke with either treatment group.
29088103,There was no significant difference between the probiotic and placebo groups in terms of mortality. Conclusions Probiotics are effective in preventing NEC in VLBW babies.
31835340,There was no significant difference between MRI and plain radiography in terms of the incidence of erosions
31907492,Conclusions : There is no evidence to support or refute the use of milk-based soy formula in children with CMA
29480736,RESULTS There is insufficient evidence to support the use of prebiotics as an effective intervention for weight loss
15145632,There was no evidence of a significant difference between the behavioral and non-behavioural interventions in terms of clinical outcomes.
16299094,Conclusions : There is no evidence to support or refute the use of occupational interventions for low back pain
27605376,Conclusions : This meta- analysis suggests that bariatic surgery may improve the quality of life in people with obesity.
24318196,There was no evidence of a significant difference between the cementless and cementless groups in terms of pain or function scores.
31136527,There was no evidence of a significant difference between early and traditional feeding in terms of postoperative nausea or vomiting.
18278178,There was no evidence to support the use of echocardiography as a risk stratification tool for patients with non-rheummatic atrial fibrillation.
29119371,Conclusions : There is no evidence to support or refute the use of dual mobility ACEtabular systems for primary hip surgery.
31684688,Conclusions GH is effective in improving adult height in young adults with Turner Syndrome.
25701331,The results of this meta- analysis suggest that soluble fibers may be effective in the prevention and treatment of obesity
28251861,Conclusions The results of this systematic review suggest that a significant increase in muscle strength is associated with the use of whole body vibration for patients with stroke.
23736734,The results of this meta- analysis suggest that RYGB may be an effective treatment for T2DM in patients with low BMI.
29520083,The results of this systematic review suggest that vitamin B12 supplementation has a positive effect on cognitive function in elderly people.
30050958,The results of this meta- analysis suggest that LC supplements may improve quality of life in patients with MHD
22719834,There was no evidence of a significant difference in the incidence of adverse events with antipsychotic drugs compared to placebo.
29292213,There was no evidence of a significant effect of fibrate therapy on the risk of cardiovascular events in patients with Type 2 Diabetes.
20739918,Conclusions : There is no evidence to support or refute the use of MRI as a diagnostic tool for low back pain and sciatica
23959778,There was no evidence of a significant difference between the two groups in terms of CGI scores.
25345420,Conclusions : There is insufficient evidence to support or refute the use of stimulants for ADHD.
25044052,Conclusions : There is insufficient evidence to support or refute the effectiveness of stimulant medications for driving performance in adults with ADHD
9470890,Conclusions : There is no evidence to support or refute the use of exercise for back pain
29609665,Conclusions : The results of this systematic review suggest that the use of low-prececal and high-calcareum calcium carbonate in diets for pigs may increase P digestibility.
27550905,Conclusions : There is no evidence to support or refute the use of pre-registration for RCTs in clinical practice.
31264084,RESVERATOL supplementation has no significant effect on blood pressure or fasting glucose in patients with Type 2 Diabetes Mellitus.
27898180,"In conclusion, there is insufficient evidence to support the use of ANP or PUI as an irrigation delivery system for dogs with AP"
27124611,Conclusions : There is insufficient evidence to support or refute the use of accelerometers as an outcome measure for people with MS.
23002379,"There was no statistically significant difference in the risk of adverse events, including weight gain, metabolic abnormalities and extrapyramidial symptoms."
29228348,The results of this systematic review suggest that n-3fatty acid supplementation is effective in reducing fasting blood sugar and insulin levels in adults with Type 2 Diabetes.
27278232,AUTHORS'CONCLUSIONS The results of this meta- analysis suggest that alcohol consumption may be associated with early natural and irregular menopause
11279762,There was no evidence of a difference in the incidence of criminal behavior among patients with psychotic disorder compared to controls.
28126565,The results of this systematic review suggest that vitamin D is effective in reducing blood pressure and improving the quality of life in patients with CVD.
23633374,There was no evidence of a difference in the incidence or prevalence of stroke between men and women.
28407810,Conclusions : This systematic review suggests that the use of community health workers to deliver preventive and curative services is cost-effective in India.
26420598,There was no evidence of a significant difference in bone mineral density between the calcium and placebo groups.
30746868,Conclusions Robotic implantation is safe and effective for THA.
31933471,Conclusions : There is no evidence to support or refute the use of an implantable ECG device for detection of AF in people with AF
27395329,"The results of this systematic review suggest that the use of a multimicronutrient supplement in schoolchildren is associated with improved cognitive performance, but there is no evidence to support its efficacy"
10796331,There was no evidence to support the use of calcium or vitamin D supplements as a treatment for osteoporoseis.
28332506,There was no evidence of a significant difference in SBP between the two groups.
28249299,Conclusions : There is insufficient evidence to support or refute the use of exercise as an intervention for weight loss
25879093,Conclusions DHEA appears to be a safe and efficacious treatment for women with FSD.
24464831,There was no evidence of a difference in postoperative mortality or complications between the two types of anaesthesia
24513112,The results of this systematic review suggest that the use of MTA as pulp dressing is associated with a higher success rate than those of formo Cresol.
29498201,Conclusions : There is insufficient evidence to support the use of NAC as an adjuvant for patients with advanced cancer.
24406123,Conclusions : There is limited evidence to support the use of shoulder outcome measures in clinical practice.
28196512,Conclusions : There is insufficient evidence to support or refute the use of lifestyle interventions for people with schizophrenia
27738515,There was no evidence of a significant difference in the incidence of major revascularisation or death among patients receiving full prescription coverage compared with usual care.
22041335,Conclusions : PVI is an effective treatment modality in patients with atrial fibrilation.
23219100,There was no association between physical activity and overweight or obesity.
26546969,There was no evidence that statins were associated with an increase in the risk of cardiovascular mortality.
23796797,There was no evidence of a significant association between genotypes and abstinency.
27727432,SAMe appears to be a promising treatment option for patients with depression.
30455832,There was no evidence of a significant difference in the risk of 30-day hospitalization or re-hospitalization for patients who were treated according to an ED clinical pathway.
28477308,There was no statistically significant difference in mortality between the two groups.
11574449,There was no evidence to support or refute the use of computerised reminder systems for diabetes management.
17846060,There was no statistically significant difference between age and major bleeding. Age is associated with higher rates of major bleeding in patients receiving aspirin
26501062,Conclusions : There is limited evidence to support or refute the use of psychosocial interventions for patients with low-back pain.
26725071,There was no significant difference in response rates between the two groups. Conclusions The results of this meta- analysis suggest that topical steroids can be used as an alternative to circumcision
25300397,Conclusions : Patient-specific instruments were associated with improved surgical accuracy in TKA patients.
30293906,There was no evidence of a significant difference in the incidence of adverse events with combination therapy versus monotherapy.
32149404,Conclusions : There is insufficient evidence to support or refute the use of anecdote drugs before and after cardiac surgery
23360949,Conclusions : There is insufficient evidence to support or refute the use of parent and child interventions for ADHD.
27489205,There was no evidence to support the use of ART in primary teeth
22992251,There was no evidence of a significant difference in the risk of neural tube defects between women with and without folate supplementation.
29453672,The results of this meta- analysis suggest that a moderate dose of fish oil is associated with an increased level of circulating Adiponection in patients with Type 2 Diabetes Mellitus
28063111,Conclusions : There is insufficient evidence to support the use of CRYO as an alternative for PVI
30627080,Conclusions : This meta- analysis suggests that aerobic fitness is associated with an increased risk of overweight and obesity in adolescents.
26912127,There was no significant difference in the incidence of adverse events between IM and placebo for all outcomes.
26917939,Conclusions : This systematic review suggests that manual examination of the cervical range of motion may be an effective method to diagnose CEH.
26806655,Conclusions : The current evidence suggests that PDE5 inhibitors are effective in the treatment of BPH-related symptoms.
24307487,There was no evidence of a significant difference in the risk of mortality or cardiovascular events between ARBs and placebo groups.
29474713,Conclusions : This systematic review suggests that SMS reminders may improve medication adherence among patients with cardiovascular disease.
26225902,There was no evidence of a significant difference in treatment response between the two groups.
27113121,There is insufficient evidence to support or refute the use of omega-3 peptides as an adjunctive treatment for depression.
26626069,Conclusions : There is no evidence to support or refute the use of walk-to-school interventions in children and adolescents.
30462233,There was no significant difference in the incidence of inappropriate shocks between ICD and non-ICD devices.
21901722,Conclusions : There is evidence that financial incentives are cost-effective in the primary care setting.
31166447,There was no evidence of a relationship between vitamin D status and the incidence of fractures in healthy women.
23126575,Conclusions : There is insufficient evidence to support or refute the use of noncemented cementless ACEtabular cups for total hip replacement.
32322969,The results of this review suggest that synbiotic supplements may be effective in the management of NAFLD
30057608,This systematic review provides evidence that ridge preservation is effective in preventing post-extraction resorption of the extraction socket.
25834275,There was no evidence to support the use of a DAA or PA approach for total hip replacement.
28577257,The results of this systematic review suggest that supplementation with vitamin D may improve muscle function in elite athletes.
31827125,There is no evidence to support the use of fish oils in patients with Type 2 Diabetes.
27611008,There was no evidence of a significant difference in penile length between the two groups.
24149519,The results of this meta- analysis suggest that the use of gastric bypass is associated with improved weight loss and a lower risk of adverse events.
24867198,Conclusions : There is insufficient evidence to support or refute the use of CT scan as a diagnostic tool
28275892,There was no evidence of a significant difference between the two groups in terms of adverse events.
19300334,There was no statistically significant difference in the incidence of wound infection between women receiving cefacilin and women receiving doxicycline or azithromycin.
26120361,There was no evidence to support the use of modified CBT for anxiety.
25721432,Conclusions The results of this review suggest that a multicomponent exercise program is effective in improving balance and mobility in older adults
28236962,Conclusions : This systematic review suggests that lifestyle interventions can reduce the risk of Type 2 diabetes in people at high-risk for T2D
27595415,There was no evidence to support the use of vitamin D for asthma control.
29659440,Conclusions This systematic review suggests that there is a high prevalence of spinal pain among adolescents in Denmark.
23506544,Conclusions : There is insufficient evidence to support or refute the use of telephone-based interventions for improving physical activity among older adults
24879789,Conclusions : There is insufficient evidence to support or refute the use of prophylactic catheter ablation
22513945,Conclusions : There is insufficient evidence to support or refute the use of PV isolation for treatment of AF
28851509,Conclusions : There is no evidence to support the use of double-port LNS for the treatment of poor testis in children.
28229164,Conclusions : There is insufficient evidence to support or refute the association between physical activity and atrial fibrilation.
26806817,Conclusions : There is insufficient evidence to support or refute the use of yoga as a treatment for FM.
31722229,"Conclusions : This meta- analysis suggests that MPH is associated with an increase in SCL and EEG, but does not show any significant effect on autonomic or central measures."
21276215,"In conclusion, there is insufficient evidence to support or refute the use of GIC as a preventive sealant for children and adolescents"
29594349,There was no evidence of a significant difference in the incidence of post-operative sensitivity between bulk-filled and incrementally placed restorations.
30770235,The results of this systematic review suggest that RLAT is effective in the treatment of bipolar disorder
23737033,"Conclusions Estrogen therapy is associated with improved vaginal health, but it does not appear to have any effect on sexual function or quality of life"
12917933,There was no statistically significant difference between the two treatment groups in perinatal complications.
31860749,"Iron supplementation was associated with a significant reduction in the incidence of severe adverse events, but no statistically significant differences were observed between groups."
25605408,There is insufficient evidence to support the use of thermal water as a treatment for chronic asthma.
31007780,"Conclusions Catheter-ablation is associated with a reduction in the risk of thromboemia, but it does not appear to have any effect on mortality."
27820712,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of ultrasound screening as a preventive measure for AAA
24847960,This meta- analysis suggests that vitamin D deficiencies are associated with a significant increase in the risk of osteoporosis.
18348591,There was no evidence to support the use of exercise as a preventative measure for falls in older adults
21810228,Conclusions : There is insufficient evidence to support or refute the use of multidisciplinary interventions for patients with back pain
22789023,There is no evidence to support or refute the use of weight management interventions in preventing overweight and obesity among people with schizophrenia
21203852,Conclusions The NEIVFQ-25 is an effective tool to assess patient satisfaction and quality of life
28640907,Conclusions : There is insufficient evidence to support or refute the use of accelerometers as an activity monitor for children with asthma
25994094,There was no evidence of a significant difference in the proportion of people meeting moderate- or vigorous-intensity physical activity recommendations.
21109400,There was no evidence of a significant difference in pain intensity between the two treatment groups.
18493163,There was no evidence of a significant difference between the two types of implants.
22947230,Conclusions : There is insufficient evidence to support the efficacy of stimulant-based treatment for ADHD.
30022830,Conclusions : There is insufficient evidence to support or refute the use of parent training as an effective treatment for autistic disorders
26692005,There was no significant difference in the incidence of adverse events between FCM and oral iron.
26717446,The results of this meta- analysis suggest that the use of a weight reduction program may be effective in reducing body weight and improving insulin resistance in overweight people
29776983,Conclusions Robotic assisted THA may improve the accuracy of tibioofemoral positioning and reduce the risk for dislocation.
24123139,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of MFM as a diagnostic tool for Duchennemuscular disease.
30338697,Conclusions : There is no evidence to support or refute the use of preoperative PROMs as an outcome measure for foot and ankle pain.
28542867,Conclusions : There is insufficient evidence to support or refute the use of Wii Fit as an intervention for children with neurological palsy
22820555,There was no evidence of a statistically significant difference between the two groups in terms of cognitive performance.
24723255,There was no evidence of a significant difference in the incidence or severity of NAC between probiotics and placebo.
17394228,There was no evidence to support the use of exercise as a treatment for RA
28743192,Conclusions : The results of this systematic review suggest that obesity-related inflammation is associated with the development of metabolic disorders in overweight and obese adolescents
27837440,There was no evidence of a difference between the intervention groups for HbA 1c and A1C at 6 months or 12 months in terms of clinical outcomes.
27623982,Conclusions : Inulin prebiotics have an effect on blood glucose concentrations in healthy people.
11687163,Conclusions : There is no evidence to support or refute the use of home-based physical therapy for patients with SA.
32307935,There was no statistically significant association between vitamin D and vaginal symptoms.
32152747,There was no evidence of a significant difference in postoperative pain or functional outcomes between the two methods.
25031196,AUTHORS'CONCLUSIONS There is insufficient evidence to support or refute the use of mid-soles as an exercise option for people with knee OsteoArtritis
29317216,AUTHORS'CONCLUSION This meta- analysis suggests that the temporal window is an important aspect of autism.
30154381,Conclusions : There is insufficient evidence to support the use of vitamin D as an independent risk factor for type 2 diabetes.
31582860,Conclusions : The results of this systematic review suggest that CLA supplements may be beneficial for the management of cardiovascular disease in healthy adults.
21146772,Conclusions : There is limited evidence to support or refute the use of physical activity interventions in school settings.
25271203,There was no significant difference in postural performance between healthy and non-specific subjects.
20482475,There was no statistically significant difference between the RT and control groups in terms of exercise capacity or quality of life
19508728,Conclusions : There is insufficient evidence to support or refute the use of occupational interventions for patients with LBP.
28627214,Conclusions Green tea is associated with a beneficial effect on body weight in overweight or obese people.
21690453,Conclusions Gastric bypass is a safe and effective treatment for obese patients with Type 2 diabetes.
23913339,There was no significant difference in cup migration between the two groups.
23337783,There was no evidence to support the use of case managers.
30787096,There was no evidence to support the use of a single exercise intervention in patients with SPS.
30799194,Conclusions Cinnamon has a beneficial effect on blood glucose levels in patients with Type 2 Diabetes.
21059667,AUTHORS'CONCLUSIONS There is insufficient evidence to support the use of preoperative exercise and education for patients at high-risk of postoperative cardiovascular complications.
22437353,There was no significant difference between the two groups in terms of mortality. Conclusions This meta- analysis suggests that innovation may be an effective treatment option for patients with chronic AF
29309554,Conclusions : There is insufficient evidence to support or refute the use of pacemaker technology for detecting atrial fibrilation
26180255,There is insufficient evidence to support the use of vitamin D as a preventative measure for weight loss
21880286,There was no statistically significant difference between the two groups in terms of mortality.
29718689,Conclusions The results of this meta- analysis suggest that a low carbohydrate diet may be an effective treatment option for overweight or obese people with hypertension
31367297,"In conclusion, statins are associated with an anti-inflammatory effect in patients with diabetes."
24977635,There was no evidence of a significant difference in mortality between the two types of anaesthesia
25169459,Conclusions : There is insufficient evidence to support or refute the use of a single dose of LDX as an effective treatment for ADHD
22574624,There was no evidence of a significant difference in the incidence of CVA or anemia among children who were supplemented with folate.
16034862,There is insufficient evidence to support the use of topical antibiotics for preventing postoperative wound infections after appendix surgery.
23867731,Conclusions : There is insufficient evidence to support or refute the use of abdominal muscle activity as a measure of pain-related outcomes in patients with LBP
25746842,There is no evidence to support or refute the use of antioxidants in patients with Type 2 Diabetes.
32225172,There is no evidence to support or refute the use of OAC in reducing late-onset VAP.
29341831,There was no significant difference in the incidence of SREs between BPs and control groups.
12076233,The results of this systematic review suggest that sildenalfil is effective and safe in the treatment of ED.
23190278,There was no evidence of a significant difference in the survival rate between composite resins and amalgams.
23937401,There was no statistically significant difference between the post types in terms of survival.
30823873,Conclusions : There is insufficient evidence to support or refute the use of physical activity questionnaires as an assessment of health outcomes
27820218,There was no evidence of a significant difference between group care and usual care in terms of clinical outcomes.
22005864,There is no evidence to support or refute the use of cementless implants.
30017172,RESVERATOL supplementation is associated with an increased expression of the Toll-like receptor 4 and Nrf2-related factor 2 pathway in humans
22354262,There was no evidence of a significant difference in CBF between the two groups.
19370593,"There was no statistically significant difference between estrogen and placebo in any of the major outcomes, including CHD, stroke or cardiovascular mortality."
30926250,Conclusions : There is insufficient evidence to support or refute the use of CGA as a predictive tool for mortality in older adults with cancer
28831565,There was no significant difference in inflammatory response between the two types of prostheses. The results suggest that laparoscopic polypropylenine mesh is associated with an increased acute phase CRP.
31664495,There was no significant difference between the two groups in terms of length of stay or readmission. Conclusions Fast track clinical pathways have been shown to reduce postoperative hospital costs for patients with CRC.
20078374,Conclusions : There is insufficient evidence to support or refute the use of sweeteners for weight control.
29290882,There was no evidence of a difference in OSDI between the two groups.
23001018,Conclusions : There is insufficient evidence to support the use of anticoagulants as an effective treatment for AF
26435098,The results of this meta- analysis suggest that SET is effective for improving walking ability in people with PAD
24635850,"In conclusion, there is insufficient evidence to support or refute the use of instrumented measures for measuring spasticity"
22984894,There was no significant difference between the CAS and conventional surgical techniques in terms of functional outcomes.
19588332,There is insufficient evidence to support the use of lipid-lowering therapy in patients with CHD
