docid,target,generated,score
28449030,"We identified three primary mechanisms of spillovers : reduced disease transmission , social proximity and substitution of re sources within households .
We found the strongest evidence for spillovers through reduced disease transmission , particularly vaccines and mass drug administration .
In general , the proportion of a population receiving an intervention was associated with improved health .
We found evidence of publication bias for certain spillover estimates but not for total or direct effects .
Conclusions We found the strongest evidence for spillovers from vaccines and mass drug administration to control infectious disease .
There was little high quality evidence of spillovers for other interventions","In this paper, Anderson demonstrates that the indirect effects of one person's vaccination on another's outcome may be decomposed into two different kinds of effects: contagion effects and an unconditional infection effect. He uses counterfactual theories to predict these effects in a cluster-rand-omized study with households of small two-person households. The results show that there is no evidence of direct protection from disease when compared to those received by placebo groups. This suggests that herd protection might not be as strong as community protection due to considerable transmission between clusters. Two recent studies suggest that women's groups are effective in preventing neonatal death in poor communities. One trial shows that women can reduce maternal mortality in three rural Bangladeshi districts. A second trial compares immunition rates among children aged 1 or 3 and finds that only modest incentives improve immunisations rate but does not have a substantial impact on immunisesation rates. Two other studies indicate that women could reduce neonatial mortality in poor areas because of their increased participation in health care. Another study examines the relationship between neighborhood-level exposure to cholera and protective effectiveness during a two year followup period. These studies demonstrate that people living near them are more likely to protect themselves from choler than they are protected by conventional measures of public health.",0.942752928640956
27888169,"In addition , the more CCM-incorporated the information technology-based interventions were , the more improvements there were in HbA1c levels .
CONCLUSIONS Information technology strategies combined with the other elements of chronic care models are associated with improved glycemic control in people with diabetes .
No clinical ly relevant impact was observed on low-density lipoprotein levels and blood pressure , but there was evidence that the cost of care was lower","This paper describes the use of telemedicine to improve blood glucose control in patients with Type 2 diabetes. It uses a combination of remote patient monitoring and complete feedback loops to assess changes in blood glucose levels over six months. The results indicate that both groups have significant improvements in their blood pressure control. A1c values are reduced by 0.70 percent in usual care and by 1.11 percent in treatment group. In contrast, change in medication is associated with lower HbA1,1c levels. These results suggest that web-based management may be useful in improving type 2 diabetes care. Two studies examine the effect of an organization-based approach on improved blood pressure controls in patients who have poorly controlled Type 2 disease. One study investigates the effects of using a multicoponent organizational intervention for improvement in quality andefficiency of care; the second study evaluates a system designed to improve self-management in adults with Type 1 disease. The first study compares the benefits of a shared medical record with those of routine care. The second study determines the impact of ""an area-wide, computerized diabetes register"" on process of care but does not affect physiologic or metabolic control. The third study tests the efficacy of telephone nurse follow up as a tool for improving health care in older people with Type 3 disease. Telemedicine has been shown to improve outcomes in many primary care practices. However, it does not significantly increase the value of planned care in terms of reduction in risk of coronarry artery disease.",0.9844650888148899
20088746,"The efficacy was particularly highlighted when looking at the marked improvement in serum vitamin B12 levels and hematological parameters , for example hemoglobin level , mean erythrocyte cell volume and reticulocyte count .
Oral cobalamin treatment avoids the discomfort , inconvenience and cost of monthly injections .
TAKE HOME MESSAGE Our experience and the present analysis support the use of oral cobalamin therapy in clinical practice","In this study, we describe the efficaciousness of a single daily dose of crystalline cobalamin in patients with food-cobalmin deficency. The results suggest that moderate dosages of  Crystal Cybriopamin may be effective as treatment for adulterous food-combsorption.",0.02621167164993429
27040323,"Based on the available trials , the evidence does not support the administration of oral immunoglobulin for the prevention of NEC .
There are no r and omized controlled trials of oral IgA alone for the prevention of NEC","The GRADE approach starts as high-quality evidence or observational trials as low-quality Evidence, but they can berated down by risk of bias. In the GRAde approach, rand and omolized trials begin as high quality evidence with observational studies than low-quality evidence; but both can easily be rated lower if all the relevant evidence is from studies that have a highrisk of bias",0.6972841955305402
20379700,"Collectively , these studies provided some evidence to show that interventions by healthcare professionals improved the QOL medication compliance and calcium intake of patients but its effects on BMD , medication persistence , knowledge , and other lifestyle modifications were less conclusive .","In this study, a group of postmenopalausal women who have been previously treated for fractures are re-educated to improve their knowledge of Osteorosis. The results show that the training group reduces pain and uses analgesicks significantly. Quality of Life is improved even beyond active training period. A group-founded multidisciplinary education program increases patients' knowledge of disease. This intervention also leads to improvements in bone mineral density and back complaints. Two other studies suggest that exercise can improve balance and strength in elderly people with hip fractures. These studies aim to increase physical function and improve quality of life by preventing falls.",0.9558299161627121
28616252,"Our case study successfully enabled us to address the four feasibility metrics , and we provide new information on management feasibility ( i.e. estimate data completeness and estimate data entry ) and scientific outcomes feasibility ( i.e. determining data collection material s appropriateness ) .
Conclusion Our review highlights the existing research and provides a case study which assesses important metrics of study feasibility .","This paper focuses on pilot studies, or ""feasibility"" studies, which are designed to advance the scientific validity of an intervention before its main trial is conducted. It also discusses some ethical aspects involved in pilot studies and suggests how to report results of pilot studies using the Consolr statement. The purpose for these studies is to describe information related to the success of this proposed main trial; not in the trials that are served as feasibility or Pilot studies. In particular, it describes the importance of having a pilot during the preparation of a final RCT. Although many pilot studies have been published, no study has yet reported details on effective recruitment strategy for large- scale r and Omizedcontrolled trials. A detailed outline of recruiting strategies is given. These include attendance at outpatient centers, consulting mailouts, trial awareness raising activities, and cost estimation. However, most patients are too active to participate in the planned exercise intervention. There are only two methods for successful patient recruitment: 1) attending outpatient physicians, 2) consulting mail-out services, and 3) trial awarenessraising activities. Thus, there are three major reasons for participation: 1) being too active, 2) traveling to the study sites, and/or 3) needing to travel more frequently. Therefore, various approaches were used to recruit participants. For example, one method was employed to recruit people with multiple Sclerosis who had mild to moderated disability. To reach target numbers in a time frame, several methods were employed. Finally, we developed a Framework for Defining Pilot and Foasible Trials concentrating on studies conducted prior to a future controlled trial. We described a definition of pilot and foasibly studies, but did not explicitly apply to other pilot and foil studies. They differ from those found in randomised control trials, such as pilot and flotius studies. Many pilot studies do not directly relate to internal pilot experiments built into the designs of 'a main trial', 'non-r and momized pilot and Featsibility studies', or phase I studies. Some important differences in the types of information and interpretation of the Consoli date D St and Ards of reporting Trials are discussed.",0.504116719198678
30045708,"Findings revealed that active and latent MTrPs were prevalent throughout all disorders , however , latent MTrPs did not consistently have a higher prevalence compared to healthy controls .
Conclusions We found limited evidence supporting the high prevalence of active and latent MTrPs in patients with neck or shoulder disorders .","A case series is presented in which twelve patients with unilateral shoulder pain are treated with active trigger points, or TrPs, for a period of two weeks. They experience a significant reduction in pain immediately after the treatment and one month later at a follow-up. The results suggest that active muscles can help to relieve pain and pressure sensitization when subjected to shoulder impingements. In this case series, it has been shown that active muscle Trps can help reduce shoulder pain but future controlled trials will be required",0.7656718020700474
31760943,"The results indicated that there was no significant difference in the amelioration of BMI , HOMA-%S and HOMA-%B in T2DM patients between RS and the non-RS supplementation .
There was no significant difference between RS and non-RS supplements in patients with simple obesity .
Conclusion RS supplementation can ameliorate IR in T2DM , especially for the patients of T2DM with obesity , but not in simple obesity","In this study, the effects of a daily consumption of high-amylose maize resistant starch type 2, or HAM-Rs2, on blood glucose control in overweight adults are investigated. The results suggest that consuming 30 g per day for 6 weeks may improve blood glucose homeosis and reduce advity-related diseases risk. However, between- group differences in Biomarker changes were not observed; future studies are needed before specific recommendations could be made.",0.5775614251760394
24717371,"Daily iron supplementation significantly improves maximal and submaximal exercise performance in WRA , providing a rationale to prevent and treat iron deficiency in this group .","Iron-deficient, untrained females were assigned to receive 100 milligrams of ferrous Sulfate as a placebo or 50 mg FeSo for 6 hr. After six weeks, the iron groups improved their serum ferritsin and transferrn receptor concentrations without affecting blood hemoglobine concentrations or heart rate. This suggests that iron depletions without anemia may impair endurance capacity after exercise in women with poor iron status. In this study, we examine the effect on muscle fatigue from iron depleted women aged 19-36 years. We find no significant differences among the two groups: body size, body composition, physical activity levels,  diet iron intake, delta efficiency, or exhaustion threshold. However, meat supplements are more effective inprotecting hemoglobin/ferritein status than are iron supplements. The results seem to suggest that iron replesion leads to an increased red blood cellvolume and performance capacity when iron-detained female distance runners. Women with iron defferiency have reduced their resistance to injury by increasing their total iron-bounding capacity. A daily iron supplement is shown to improve several haematical variables and their bodies iron status; however, it does not increase endurance capacity.",0.9967043941722872
26005199,"No clinical or demographics explained as much variance in the FIQR total as any of the mindfulness subscales .
Fibromyalgia patients experience symptoms that may be alleviated by mindfulness interventions .
Baseline values for the observe subscale of the FFMQ were unexpectedly high .","In this study, the effects of an eight-week course of meditation on fibromyagia were examined in a single-blind fashion. The results showed that the treatment group gained most of their gains at three months' follow-up and that patients continued to improve over time. A further study was performed wherein it was found that ""the benefits of yoga of awareness in famiyalgiA are replicateble and canbe maintained."" This study is followed by a second study which uses a waitlist control group to examine the effect of a 8-week mindfulness-based anxiety reduction program on pain and quality of life among 57 women with syphilis. After comparing pre-to-post intervention studies with post-intervention studies, the results suggest that the improvement in psychological well being resulted from the increase in levels of mindfulness measured with the Five-Facet Questionnaire.",0.9954983216921532
29353323,"None of the mediators or moderators tested affected methylpheni date efficacy .
Academic improvements were small compared to symptom improvements ; qualitative changes limited to math .","In this study, we examine the effects of stimulant medications on academic performance in children with hyperactivity disorder. Children receive either a short-acting form of methylphini date or Concerta, an extended-relief form of MPH, for 7 days. The results are similar to those of other stimulants and indicate that concerta improves classroom behavior and school performance as well as improving individual target behaviors. A double blinded, placebo-control, crossover evaluation is performed on twenty-two children who have attention deficit/hyeractivity disorder; they receive two different forms of treatment: 1) immediate-release MethYLPH 3 times per day; 2) long- acting Concerta; and 3) sustained-release Pemoline. These studies provide evidence that both treatments produce significant reductions in ADHD symptoms over time. For example, when combined treatment and communitycare were combined, all subjects showed improved performance on tests of reading comprehension and learning. However, there was little difference in the degree of improvement in executive functioning between the two groups. This paper emphasizes careful differential diagnosis, doubleblind and place-based approaches, and curriculum dependent measures to addresses these concerns. Two studies examined the efficacious effects of prolonged-release Medkinet retard upon decoding in patients with attention-excitability disorder but not conducting disorder. One study investigated the effect of Oros MPH on decipherment in children without commorbid learning disability. Both conditions lead to improvements in scores on test tasks related to intelligence and language skills.",0.13481376848650742
27473099,"Using r and om-effects models , estrogen replacement therapy showed an increase in bone mineral density [ weighted mean change from baseline 0.09 g/cm2 ( 0.04–0.14 ) ] that differed by type of estrogen but not route of administration .
Oral estrogen replacement therapy showed a higher increase in high density lipoprotein cholesterol levels when compared to transdermal [ weighted mean difference 9.33 mg/dl ( 4.82–13.85 ) ] with no significant effect on other lipid fractions .
The current evidence suggests possible benefit of estrogen replacement therapy  on bone mineral density and high density lipoprotein cholesterol .","In this study, the incidence of traffic injuries is estimated in a population-based cohort. The risk of injury for males and females is calculated by using cluster sampling. A total of 4333 people are lost during the follow up period. For road traffic injuries, the relative risk among males is 3.04 and household injuries is 0.39. Study 1: An experiment to betterunderst and market for child care in Saudi Arabia will be conducted. This pilot will identify groups of people at high risk who need specific protection measures. It will also provide information on whether access to daycare would improve women's employment.",0.34335524564377146
26739716,"Several factors were found to be associated with disability at follow-up for at least two different pain symptoms .
However , owing to insufficient studies , no generic risk factors for sick leave were identified .
Conclusions Multiple site pain , high pain severity , older age , baseline disability and longer pain duration were identified as potential prognostic factors for disability across pain sites .
There was limited evidence that anxiety and depression were associated with disability in patients with subacute pain , indicating that these factors may not play as large a role as expected in developing disability due to a pain condition .","In this study, the Danish population is surveyed every six to seven years. They are asked whether they have chronic pain that lasts for 6 months or longer. The results show that people with an education less than 10 and marriage had higher odds of experiencing chronic pain than those with an educated older age. People with a physical strain were most likely inflicted with chronic pain on average. A strong relationship between chronic pain-related symptoms and poor self-rated quality of life was also demonstrated. Opiodies are used by almost 130,000 adults. Poor self-rerated health is seven times greater among persons belonging to the patient's group. Nearly 1,30,000 adults useopioids on a daily basis. This study investigates psychological factors in acute and subacute shoulder pain. In both groups, patients reported persistent symptoms and reduced functional disability at three month's follow-up. These findings suggest that in pity primary care population ""the influence of psychologicalfactors on outcome might vary across patients With different Types of pain."" Prognostic measures such as time of pain episode, intensity of pain, presence of several site pain, and somatization were more strongly connected with persistent pain but not with good outcome. Furthermore, there was no significant association between psychological factors when compared to prognosic measures from other sources. Thus, it is necessary to develop a prediction rule for patients with acute back pain who receive spinal manipulation.",0.1455935286045571
29318741,"CONCLUSIONS Based on a limited number of studies , the use of ergonomic saddle seats and dental loupes leads to improved working postures .
The use of loupes appears to relieve shoulder , arm and h and pain .
However , their effect on neck pain is scarce .
None of the studies reported on the effect of the saddle seats on musculoskeletal pain .","In this study, we examine the effects of using mag-foiling on students' posture during their first two weeks of training. The results suggest that students should be taught how to use these devices early in their education so that they can better serve patients. This paper also focuses on an investigation into the relationship between work-relational pain and neck pain among dental students. It was found that there was a significant positive relation between the percentages of working time in sitting position and Neck pain. Students who used the fluofixes were more likely to suffer Neck pain than those who did not use it. A second study examined the effect of magnificent loupes upon student performance in pre-clinical operative dentistry courses. These studies showed that students with the fluorex improved their posture when compared to students without them. Both tools performed well in evaluating the efficacy of knowledge translation intervention for cancer pain.",0.21744809801280693
23236190,CONCLUSION Mud pack therapy is considered an alternative and effective therapy in the clinical management of knee OA .,"In this study, Wuthering Heights et al. investigates the effects of mud packs on the treatment of knee Ostearthritis. Mud packs are more effective in relieving pain than conventional medical treatments, and Wuthring Heights concludes that they can be used as an alternative to morphine-based therapy for patients who have not responded to other pharmacical treatments.",0.20313536333527976
22575611,"Findings were inconclusive for lamotrigine and carbamazepine although overall lamotrigine may have a beneficial but modest effect .
Negative results were found for levetiracetam and gabapentin but the evidence base on these agents is scant .
All anticonvulsants were generally well tolerated .
No double-blind RCTs were found for the use of other anticonvulsants such as oxcarbazepine , licarbazepine , zonisamide , retigabine , pregabalin , tiagabine , felbamate and vigabatrine in the acute treatment of bipolar depression .
To sum up , taking into consideration the efficacy and tolerability profiles of anticonvulsants , current evidence supports the use of divalproex and lamotrigine in the treatment of acute bipolar depression .","In this study, Lamotrigin and gabapanepine were compared in patients with severe bipolar disorder. They showed significant reductions on the Hamilton Rating Score for depression and severity of anxiety as well as improvements on the ClinicalGlobal Impressions-Asses-Bi Polarity scale. The results suggest that la motrigine is superior to placebo when it comes to treating acute nonrefatory bipolar depression. Bipolar II disorder is characterized by depressive symptoms rather than hypomania or mixed state. Long term follow-up studies are needed to determine whether treatment can be extended over longer periods of time. Aeds are commonly used in mood disorders; however, there is little evidence regarding their efficacy. Levetiracetantam is more effective at preventing relapse from bipolar I than either lithium or carbazzapine.",0.4192131486834123
30113661,Conclusion This meta- analysis supports the potential use of microbial therapies in the treatment of NAFLD and sheds light on their potential mode of action .,"The effects of a probiotic regimen on serum lipid levels and liver function in Type II diabetics are reported. In this paper, we examine the effect of daily probiotic consumption on serum calcium, iron, aspartates aminotransferease, and alpha tocopherol levels in type II patients. We conclude that probiotic treatment can improve blood sugar and lipoprotein concentration in Type 2diatric patients without significant adverse effects. This study investigates the relationship between intestinal probiotics and nonalcoholic fat-induced liver disease in rats. Lactobacilus is superior to Lactobacterium acidophilus in terms of improving attenuate fat accumulation. A double-blinded, parallel-gavage trial was performed on 136 type two diabetic subjects aged 30 -70 years old in Kualka Lumpur, Malaysia. All the subjects were assigned to receive either aprobiotic or placebo capsule for 12 weeks. Both groups showed significant reductions in urea values. These results were not significant; however, they were significant when ITT analysis was performed upon all the recruit subjects. Trial registration: ""Cascinaty 1:BACKGROUNTS Nonalcoholicfatty liver disease -- NAFLD -- is the most commonly chronic liver disease among the world"". It has been suggested that it may be beneficial to treat these conditions with probiotic therapy. Here, we evaluate the benefits of enriched Chicory inculination on liver proteomes, renal profile, and inflammation in patients with Type 2Diatribe. After eight weeks of intervention, combined XyloOLIGOSACCHARDE AND LACTOLLUCIUM resulted in reduced SBP / DBP, Serum MDA / TNF, and Enzymatic Profiles in patients who had Type 2DM. They also showed improved changes in body weight, waist circumfference, and blood sugar. Probiotic treatments seem to reduce liver fat but do not affect other measures of health.",0.12117633865648265
30511328,"Network meta- analysis revealed that in adolescents , intervention with 2000 mg/day metformin ranked better than other interventions ; however , 1000 mg/day metformin for 3 months may be most suitable for adolescents .
For adults , metformin at doses of 3000 and 1000 mg/day ranked the highest , other than minimeal and lifestyle interventions ; moreover , intervention with 3000 mg/day for 6 months and 1000 mg/day for 0.5 months may be suitable for adults .
Conclusion When considering the efficacy of interventions for losing weight , metformin offers clear advantages for overweight and obese population","In this paper, the authors present a doubleblind, placebo controlled study of 29 white-and-black American adolescents aged 12-18 years with fasting blood concentrations greater than 15  U/mL. The subjects were divided into three groups: 1) patients who had severe obesity; 2) patients with family history of Type 2 diabetes; and 3) patients who did not have any significant changes in their body mass index or waist circumference. This study is an attempt to evaluate the efficaciousness of meetingformin in treating obese patients without type 2 diabetes. Although metformin does not improve blood pressure or blood glucose levels, it reduces total cholesterol, abdominal obesity, and C-Reactive Protein levels in obese patientswithout diabetes. Two studies are presented that describe the effects of combination diet and exercise for improving body weight, fat distribution, and hormonal changes in obese children. One examines whether metformine can prevent excessive weight loss in overweight children while another examines the effect of combined lifestyle intervention on improved body weight and body composition. A mixed treatment comparison is used to assess the relative effectiveness of two different treatments. For example, one group receives 1,500 millig/mmol daily for six months, while the other receives only 500 milliog per day for twelve months.",0.7458759762279475
17595425,"Heterogeneity between studies indicates that the Morse Falls Scale and STRATIFY may still be useful in particular setting s , but that widespread adoption of either is unlikely to generate benefits significantly greater than that of nursing staff clinical judgment","In this study, we examine the performance of the Stroke Risk Assessment tool as used in patients recovering from an acute stroke. The results suggest that it is not a good predictor for falls and that there is no way to use the tool to predict future falls. A multiple-intervention fall prevention program reduces the proportion of people who experience falls during their stays in the hospital. This was particularly significant in the first three months after discharge. However, when the intervention group had a greater risk of falling than the control group, they experienced a trend toward reduction in the frequency of falls. Furthermore, the method did not have any predictive power in terms of whether or not someone will fall. We further assess the reliability of the elderly mobility scale, which has been used to predict falls among elderly patients. All patients with one or more risks factors that predispose them to falls are randized to receive blue identification bracelet; however, only those with high risk factors were omically assigned to receive no bracelet. Thus, all patients with two or more risk characteristics were stratified by receiving either a white identification bracelet or none at all. These subjects fell less than once but yielded a ratio of '1.3'. To further test the efficiacy of using a single-step approach to prevent falls, a prospective case-control trial was conducted in Swedish hospitals. It showed that nursing care was inadequate in predicting how many patients would fall while on bed. There was little improvement in the relative rate of recorded falls between the treatment group and control group. Finally, the Peter James Center Fall Risk Assessment Tool was developed to predict the risk offalls in older patients. Although the accuracy of these tools was good, neither nurses nor physicians could be trusted to accurately predict falls.",0.009280771716105913
23324965,"RESULTS The meta- analysis did not reveal any effect of the type of acetabular component fixation on either survivorship or revision rate .
The preference for cementless acetabular components on the basis of improved survivorship is not supported by the published evidence .
Although concerns regarding aseptic loosening of cemented acetabular components may have led North American surgeons toward the nearly exclusive use of cementless acetabular components , the available literature suggests that the fixation of cemented acetabular components is more reliable than that of cementless components beyond the first postoperative decade","In this study, we examine the long- term results of the elite plus femor stem in a series of young patients. The mean survival rate was 90.0 percent with any revision at the end point and the mean annual wear of the Polyethylene liner were 0.17mm per year. A third generation cementing technique, accurate alignment of the stem to the use of an 22 mm Zirconia Head were important factors for the prevention of excessive loosening from the Elite Plus prostess in these high risk young patients."" There were thirteen hips who died after follow-up. Forty-five patients were excluded because their medical condition was not well. Thirteen hips had a reverie; seventy five had aseptic looseening. After six months, there was neither significant difference in the clinical or radiographic outcome between the cemented cup or the uncemed Duraloc Cup after 10 years. This study is one of only few studies that have been performed on primary cementless complete hip replacements. It has been shown that it can be renewed over three decades without bone loss.",0.013222031790365737
